model_name,model_config,seq_len,batch_size,model_size_mb,activation_memory_mb,kv_cache_mb,reserved_memory_mb,total_memory_mb
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,256,1,942.29,82.78,3.0,1222.0,1028.08
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,512,1,942.29,157.41,6.0,1228.0,1105.71
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,1024,1,942.29,306.67,12.0,1526.0,1260.96
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,2048,1,942.29,605.69,24.0,1834.0,1571.98
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,4096,1,942.29,1203.22,48.0,2454.0,2193.51
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,8192,1,942.29,2396.28,96.0,3818.0,3434.57
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,16384,1,942.29,4784.41,192.0,6600.0,5918.7
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,24576,1,942.29,7172.53,288.19,9460.0,8403.01
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,32768,1,942.29,9560.66,384.0,16856.0,10886.95
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,40960,1,942.29,11948.78,480.0,22686.0,13371.07
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,49152,1,942.29,14336.91,576.0,17762.0,15855.2
qwen25-instruct,Qwen/Qwen2.5-0.5B-Instruct,57344,1,942.29,18251.47,672.0,20968.0,19865.76
mamba-790m,state-spaces/mamba-790m,256,1,1512.92,259.59,0,1826.0,1772.51
mamba-790m,state-spaces/mamba-790m,512,1,1512.92,60.3,0,2026.0,1573.22
mamba-790m,state-spaces/mamba-790m,1024,1,1512.92,110.79,0,2026.0,1623.71
mamba-790m,state-spaces/mamba-790m,2048,1,1512.92,212.01,0,2026.0,1724.92
mamba-790m,state-spaces/mamba-790m,4096,1,1512.92,414.45,0,2422.0,1927.36
mamba-790m,state-spaces/mamba-790m,8192,1,1512.92,819.7,0,2860.0,2332.61
mamba-790m,state-spaces/mamba-790m,16384,1,1512.92,1629.82,0,4174.0,3142.74
mamba-790m,state-spaces/mamba-790m,24576,1,1512.92,2438.82,0,5394.0,3951.74
mamba-790m,state-spaces/mamba-790m,32768,1,1512.92,3248.57,0,6708.0,4761.49
mamba-790m,state-spaces/mamba-790m,40960,1,1512.92,4058.32,0,7876.0,5571.24
mamba-790m,state-spaces/mamba-790m,49152,1,1512.92,4868.32,0,9332.0,6381.24
mamba-790m,state-spaces/mamba-790m,57344,1,1512.92,5678.45,0,10718.0,7191.36
mamba-790m,state-spaces/mamba-790m,65536,1,1512.92,6488.57,0,11960.0,8001.49
mamba-790m,state-spaces/mamba-790m,73728,1,1512.92,7297.32,0,13204.0,8810.24
mamba-790m,state-spaces/mamba-790m,81920,1,1512.92,8107.07,0,14446.0,9619.99
mamba-790m,state-spaces/mamba-790m,90112,1,1512.92,8916.95,0,15686.0,10429.86
mamba-790m,state-spaces/mamba-790m,98304,1,1512.92,9727.07,0,17216.0,11239.99
mamba-790m,state-spaces/mamba-790m,106496,1,1512.92,10537.2,0,18482.0,12050.11
mamba-790m,state-spaces/mamba-790m,114688,1,1512.92,11346.07,0,19748.0,12858.99
mamba-790m,state-spaces/mamba-790m,122880,1,1512.92,12155.82,0,21014.0,13668.74
mamba-790m,state-spaces/mamba-790m,131072,1,1512.92,12965.57,0,22278.0,14478.49
mamba-790m,state-spaces/mamba-790m,139264,1,1512.92,13776.82,0,23542.0,15289.74
mamba-790m,state-spaces/mamba-790m,147456,1,1512.92,14586.82,0,16600.0,16099.74
mamba-790m,state-spaces/mamba-790m,155648,1,1512.92,15396.82,0,17206.0,16909.74
mamba-790m,state-spaces/mamba-790m,163840,1,1512.92,16206.45,0,18016.0,17719.36
mamba-790m,state-spaces/mamba-790m,180224,1,1512.92,17825.95,0,19634.0,19338.86
mamba-790m,state-spaces/mamba-790m,200000,1,1512.92,19780.24,0,21590.0,21293.16
mamba-790m,state-spaces/mamba-790m,220000,1,1512.92,21757.55,0,23568.0,23270.47
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,256,1,2317.55,50.82,50.0,3880.0,2418.37
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,512,1,2317.55,65.66,87.36,3882.0,2470.57
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,1024,1,2317.55,123.43,135.36,3882.0,2576.34
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,2048,1,2317.55,241.96,231.36,3882.0,2790.87
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,4096,1,2317.55,492.01,423.36,3880.0,3232.91
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,8192,1,2317.55,1037.12,807.36,5156.0,4162.02
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,16384,1,2317.55,2321.33,1575.36,8354.0,6214.24
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,24576,1,2317.55,4149.94,2054.97,11924.0,8522.46
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,32768,1,2317.55,6554.3,2599.34,13108.0,11471.19
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,40960,1,2317.55,9470.66,3239.34,16372.0,15027.55
zamba2,Zyphra/Zamba2-1.2B-Instruct-v2,49152,1,2317.55,12899.02,3879.34,22322.0,19095.91
qwen25-1.5b-instruct,Qwen/Qwen2.5-1.5B-Instruct,256,1,2944.4,83.07,7.0,3456.0,3034.47
qwen25-1.5b-instruct,Qwen/Qwen2.5-1.5B-Instruct,512,1,2944.4,158.01,14.0,3448.0,3116.41
qwen25-1.5b-instruct,Qwen/Qwen2.5-1.5B-Instruct,1024,1,2944.4,307.89,28.0,3464.0,3280.29
qwen25-1.5b-instruct,Qwen/Qwen2.5-1.5B-Instruct,2048,1,2944.4,608.16,56.0,4100.0,3608.56
qwen25-1.5b-instruct,Qwen/Qwen2.5-1.5B-Instruct,4096,1,2944.4,1208.19,112.0,4638.0,4264.59
qwen25-1.5b-instruct,Qwen/Qwen2.5-1.5B-Instruct,8192,1,2944.4,2406.25,224.0,6242.0,5574.65
qwen25-1.5b-instruct,Qwen/Qwen2.5-1.5B-Instruct,16384,1,2944.4,4804.38,448.0,9596.0,8196.78
qwen25-1.5b-instruct,Qwen/Qwen2.5-1.5B-Instruct,24576,1,2944.4,7202.5,672.0,12610.0,10818.9
qwen25-1.5b-instruct,Qwen/Qwen2.5-1.5B-Instruct,32768,1,2944.4,9600.63,896.0,19088.0,13441.03
qwen25-1.5b-instruct,Qwen/Qwen2.5-1.5B-Instruct,40960,1,2944.4,11998.75,1120.0,16916.0,16063.15
qwen25-1.5b-instruct,Qwen/Qwen2.5-1.5B-Instruct,49152,1,2944.4,14396.88,1344.0,19994.0,18685.28
qwen25-1.5b-instruct,Qwen/Qwen2.5-1.5B-Instruct,57344,1,2944.4,17425.44,1568.0,23200.0,21937.84
llama3_2,meta-llama/Llama-3.2-1B-Instruct,256,1,2357.13,72.0,8.03,2872.0,2437.16
llama3_2,meta-llama/Llama-3.2-1B-Instruct,512,1,2357.13,135.63,16.03,2884.0,2508.79
llama3_2,meta-llama/Llama-3.2-1B-Instruct,1024,1,2357.13,262.89,32.9,2862.0,2652.92
llama3_2,meta-llama/Llama-3.2-1B-Instruct,2048,1,2357.13,518.16,64.03,3366.0,2939.32
llama3_2,meta-llama/Llama-3.2-1B-Instruct,4096,1,2357.13,1026.44,128.03,3866.0,3511.6
llama3_2,meta-llama/Llama-3.2-1B-Instruct,8192,1,2357.13,2044.5,256.03,5518.0,4657.66
llama3_2,meta-llama/Llama-3.2-1B-Instruct,16384,1,2357.13,4080.62,512.03,8360.0,6949.79
llama3_2,meta-llama/Llama-3.2-1B-Instruct,24576,1,2357.13,6116.75,768.03,11488.0,9241.91
